"Cestnoprometne nesreèe in udeleženci v nesreèah po mesecu nesreèe v letu, Slovenija, 2003 - 2014"

"MESEC NESREÈE";"2005 Prometne nesreèe - SKUPAJ";"2005 Prometne nesreèe s smrtnim izidom";"2005 Prometne nesreèe s telesno poškodbo";"2005 Prometne nesreèe z materialno škodo";"2006 Prometne nesreèe - SKUPAJ";"2006 Prometne nesreèe s smrtnim izidom";"2006 Prometne nesreèe s telesno poškodbo";"2006 Prometne nesreèe z materialno škodo";"2007 Prometne nesreèe - SKUPAJ";"2007 Prometne nesreèe s smrtnim izidom";"2007 Prometne nesreèe s telesno poškodbo";"2007 Prometne nesreèe z materialno škodo";"2008 Prometne nesreèe - SKUPAJ";"2008 Prometne nesreèe s smrtnim izidom";"2008 Prometne nesreèe s telesno poškodbo";"2008 Prometne nesreèe z materialno škodo";"2009 Prometne nesreèe - SKUPAJ";"2009 Prometne nesreèe s smrtnim izidom";"2009 Prometne nesreèe s telesno poškodbo";"2009 Prometne nesreèe z materialno škodo";"2010 Prometne nesreèe - SKUPAJ";"2010 Prometne nesreèe s smrtnim izidom";"2010 Prometne nesreèe s telesno poškodbo";"2010 Prometne nesreèe z materialno škodo";"2011 Prometne nesreèe - SKUPAJ";"2011 Prometne nesreèe s smrtnim izidom";"2011 Prometne nesreèe s telesno poškodbo";"2011 Prometne nesreèe z materialno škodo";"2012 Prometne nesreèe - SKUPAJ";"2012 Prometne nesreèe s smrtnim izidom";"2012 Prometne nesreèe s telesno poškodbo";"2012 Prometne nesreèe z materialno škodo";"2013 Prometne nesreèe - SKUPAJ";"2013 Prometne nesreèe s smrtnim izidom";"2013 Prometne nesreèe s telesno poškodbo";"2013 Prometne nesreèe z materialno škodo";"2014 Prometne nesreèe - SKUPAJ";"2014 Prometne nesreèe s smrtnim izidom";"2014 Prometne nesreèe s telesno poškodbo";"2014 Prometne nesreèe z materialno škodo"
"Januar";2385;14;667;1704;2275;8;650;1617;2315;19;856;1440;1986;14;629;1343;1641;10;578;1053;1785;4;517;1264;1569;6;510;1053;1641;5;415;1221;1504;7;459;1038;1363;5;395;963
"Februar";1942;8;540;1394;2548;11;780;1757;1894;16;663;1215;2026;19;674;1333;1536;10;527;999;1523;3;454;1066;1421;7;460;954;1781;8;408;1365;1462;6;375;1081;1174;5;341;828
"Marec";2222;12;625;1585;2592;14;760;1818;2541;15;922;1604;2307;11;723;1573;1699;10;628;1061;1741;12;563;1166;1686;7;579;1100;1887;5;549;1333;1694;10;517;1167;1343;6;449;888
"April";2288;26;718;1544;2574;25;873;1676;2645;25;991;1629;2205;21;698;1486;1675;16;722;937;1616;15;599;1002;1710;18;619;1073;1771;3;492;1276;1375;7;469;899;1512;7;496;1009
"Maj";2763;15;969;1779;2833;24;1021;1788;2820;23;1170;1627;1801;14;766;1021;1812;20;828;964;1951;12;761;1178;1796;11;711;1074;2057;10;674;1373;1612;11;599;1002;1591;8;578;1005
"Junij";2774;20;1025;1729;2926;27;1161;1738;2906;27;1215;1664;1817;15;788;1014;1833;13;823;997;1857;9;763;1085;1847;14;743;1090;2191;17;717;1457;1707;13;657;1037;1657;10;675;972
"Julij";2577;29;953;1595;2646;23;1007;1616;2742;36;1074;1632;1696;17;788;891;1808;10;828;970;1838;19;760;1059;2099;7;594;1498;2087;13;678;1396;1587;10;655;922;1562;7;599;956
"Avgust";2404;30;848;1526;2574;26;947;1601;2655;24;1015;1616;1790;26;834;930;1843;16;814;1013;1780;8;659;1113;2131;9;645;1477;2157;17;706;1434;1590;7;635;948;1564;12;552;1000
"September";2916;19;1018;1879;2873;20;1085;1768;2668;24;974;1670;1726;16;786;924;1774;19;805;950;1789;13;631;1145;2345;19;713;1613;1635;10;626;999;1662;14;603;1045;1729;13;576;1140
"Oktober";3106;23;990;2093;2949;18;1095;1836;2695;18;886;1791;2084;19;813;1252;1775;12;763;1000;1958;14;703;1241;2331;11;577;1743;1757;16;605;1136;1602;10;501;1091;1613;9;557;1047
"November";2834;16;894;1924;2519;15;866;1638;2356;16;756;1584;1727;12;647;1068;1598;9;589;1000;1776;11;588;1177;1925;11;449;1465;1463;12;460;991;1592;9;513;1070;1509;7;474;1028
"December";2883;18;832;2033;2260;22;745;1493;2164;20;629;1515;1618;16;592;1010;1603;9;530;1064;1733;7;435;1291;2053;9;489;1555;1608;6;412;1190;1517;12;443;1062;1634;8;475;1151
